Индекс,Долгота (°E),Широта (°N),Тренда (рисуем),dt (рисуем),СКО (рисуем)
Tichorezk,45.8518,40.0906,7.3,2.1,2.5
Gorodovikovsk,46.087,41.9539,9.4,2.4,2.6
Elista,46.3727,44.3301,9.5,2.7,2.9
Krasnodar,45.05,39.0333,8.4,2.2,2.5
Kropotkin,45.4331,40.5667,7.8,2.1,2.4
Svetlograd,45.3289,42.8405,8.9,2.3,2.5
Blagodarnii,45.107,43.4546,8.8,2.3,2.4
Arzgir,45.3612,44.2246,8.3,2.2,2.6
Gornii,44.2812,39.2732,2.7,1.3,2.1
Maikop,44.6295,40.1065,3.9,1.8,2.4
Labinsk,44.6603,40.752,5.6,2,2.3
Armavir,44.9737,41.1077,7.8,1.9,2.4
Nevinnimisk,44.6144,41.9639,9.4,2.3,2.5
Yujno-Sukhokumsk,44.6555,45.6444,10.1,2.1,2.3
Kislovodsk,43.8875,42.7269,4.6,2,2.3
Моздок,43.7373,44.6381,11.8,2.3,2.4
Kulohurskii pereval,43.2524,41.8273,1.4,1.3,2
Nalchik,43.515,43.6386,11.7,2.7,2.6
Vladikavkaz,43.013,44.6661,11.6,2.7,2.6
